scraping_round,region,name,price,number_of_ratings,average_rating
20,Bordeaux,Bordeaux Rouge 2015,6.95,111,3.4
20,Bordeaux,Bordeaux Supérieur 2017,7.49,37,3.5
20,Bordeaux,Bordeaux Rouge 2012,7.95,400,3.3
20,Bordeaux,Graves 2016,7.95,234,3.8
20,Bordeaux,Blaye Côtes de Bordeaux 2018,7.95,254,3.9
20,Bordeaux,Château Tertre de Courban Bordeaux 2015,7.95,92,3.8
20,Bordeaux,Bordeaux 2015,8.49,618,3.2
20,Bordeaux,Bordeaux 2018,8.5,143,3.2
20,Bordeaux,Château Armurey Bordeaux 2018,8.5,92,3.3
20,Bordeaux,Bordeaux 2018,8.75,41,3.6
20,Bordeaux,Blaye - Côtes de Bordeaux 2018,8.95,365,3.8
20,Bordeaux,Blaye - Côtes de Bordeaux 2019,8.95,187,3.7
20,Bordeaux,Blaye - Côtes de Bordeaux 2018,8.95,582,4.0
20,Bordeaux,Côtes de Bourg 2019,8.95,209,3.7
20,Bordeaux,Bordeaux Supérieur 2017,9.4,55,3.5
20,Bordeaux,Bordeaux 2016,9.5,221,3.2
20,Bordeaux,Bordeaux Rouge 2019,9.63,44,3.3
20,Bordeaux,Les Abeilles Bordeaux 2018,9.65,49,3.6
20,Bordeaux,Bordeaux 2018,9.66,646,3.6
20,Bordeaux,Bordeaux 2018,9.9,372,3.7
20,Bordeaux,Caduce 2015,9.95,85,3.5
20,Bordeaux,Médoc 2015,9.95,33,3.6
20,Bordeaux,Bordeaux 2018,9.95,233,3.7
20,Bordeaux,Bordeaux 2017,9.95,26,3.8
20,Bordeaux,Blaye - Côtes de Bordeaux 2018,9.95,114,4.0
20,Bordeaux,Bordeaux 2016,9.95,41,3.8
20,Bordeaux,Cuvée Crème de Fûts Bordeaux Supérieur 2018,9.95,59,3.7
20,Bordeaux,Médoc 2015,9.95,62,3.6
20,Bordeaux,Bordeaux Supérieur (Premium) 2018,9.99,92,3.7
20,Bordeaux,Bordeaux Rouge 2019,9.99,398,3.5
20,Bordeaux,Sélection Vieilles Vignes Bordeaux 2015,10.2,96,3.5
20,Bordeaux,Tradition Bordeaux Supérieur 2016,10.3,150,3.7
20,Bordeaux,Bordeaux Supérieur 2018,10.44,90,3.7
20,Bordeaux,Bordeaux Supérieur 2014,10.5,108,3.7
20,Bordeaux,1562 Bordeaux Supérieur 2018,10.9,379,3.9
20,Bordeaux,Côtes de Bourg 2017,10.95,69,3.8
20,Bordeaux,Puisseguin Saint-Émilion 2018,10.95,41,3.7
20,Bordeaux,La Beliérè Bordeaux Rouge 2019,10.99,42,3.5
20,Bordeaux,Château les Violettes Blaye - Côtes de Bordeaux 2016,10.99,41,3.8
20,Bordeaux,Bordeaux Supérieur 2019,11.0,130,3.8
20,Bordeaux,Bordeaux Supérieur 2018,11.25,158,4.0
20,Bordeaux,Médoc 2015,11.5,139,3.3
20,Bordeaux,Bordeaux Supérieur 2015,11.5,74,3.6
20,Bordeaux,Haut-Médoc 2016,11.5,129,3.6
20,Bordeaux,Bordeaux Supérieur 2016,11.5,73,3.4
20,Bordeaux,Ronan by Clinet Bordeaux 2016,11.5,388,3.6
20,Bordeaux,Médoc 2018,11.5,64,3.8
20,Bordeaux,Bordeaux Rouge 2018,11.6,71,3.7
20,Bordeaux,Légende (R) Bordeaux Rouge 2018,11.9,363,3.7
20,Bordeaux,Les Hauts de Pez Saint-Estèphe 2014,11.95,237,3.7
20,Bordeaux,Caractère 2016,11.95,280,3.7
20,Bordeaux,Côtes de Bourg 2006,11.95,57,3.3
20,Bordeaux,Blaye - Côtes de Bordeaux 2018,11.95,86,4.2
20,Bordeaux,Ronan by Clinet Bordeaux 2015,11.95,1206,3.7
20,Bordeaux,Bordeaux Supérieur 2017,11.95,822,3.7
20,Bordeaux,Selection Maracan Bordeaux Supérieur 2015,12.0,102,3.7
20,Bordeaux,Castillon - Côtes de Bordeaux 2013,12.45,351,3.5
20,Bordeaux,Castillon - Côtes de Bordeaux 2015,12.45,1259,3.7
20,Bordeaux,Réserve Médoc 2018,12.5,36,3.7
20,Bordeaux,Rouge (Merlot - Cabernet Sauvignon) 2015,12.5,605,3.7
20,Bordeaux,Château la Roque de By 2018,12.5,27,4.3
20,Bordeaux,Haut-Médoc Giscours 2014,12.5,855,3.7
20,Bordeaux,Réserve Médoc 2017,12.5,51,3.7
20,Bordeaux,Le Petit Champ Bordeaux 2019,12.5,34,3.6
20,Bordeaux,Bordeaux Supérieur 2016,12.5,46,3.6
20,Bordeaux,La Petite Lune 2017,12.56,53,3.5
20,Bordeaux,Gaïa Côtes de Bourg 2016,12.75,109,3.5
20,Bordeaux,Médoc 2016,12.9,323,4.0
20,Bordeaux,Graves 2018,12.95,88,3.9
20,Bordeaux,Haut-Médoc 2014,12.95,101,4.1
20,Bordeaux,Listrac-Médoc 2012,12.95,118,3.3
20,Bordeaux,Muse Bordeaux Supérieur 2018,12.95,248,3.8
20,Bordeaux,Médoc 2018,12.95,159,4.0
20,Bordeaux,Montagne-Saint-Émilion 2016,12.95,60,3.7
20,Bordeaux,No. 1 Bordeaux 2018,12.95,82,3.9
20,Bordeaux,Côtes de Bourg 2018,12.99,30,3.3
20,Bordeaux,Château Lion Noir Cosyns 2018,12.99,60,3.7
20,Bordeaux,Cadillac Côtes de Bordeaux 2015,13.25,97,3.7
20,Bordeaux,Haut-Médoc 2018,13.5,138,3.9
20,Bordeaux,Haut-Médoc 2016,13.5,86,3.6
20,Bordeaux,Merlot - Cabernet 2016,13.5,308,3.7
